Claim_ID,Customer_Age,Policy_Type,Policy_Tenure_Years,Claim_Amount,Incident_Type,Incident_Date,Claim_Submission_Date,Previous_Claim_Count,Vehicle_Age,Repair_Estimate,Final_Invoice_Amount,Police_Report_Available,Witness_Available,Location,Customer_Description,Fraud or Risk_Label
CLM00668,53,Third-Party,9.7,33018.84,Natural Disaster,06-01-2023,14-02-2023,1,1,30044.65,33426.54,Yes,Yes,Lucknow,Windshield cracked due to a stone hit on the highway.,0
CLM00888,64,Third-Party Fire & Theft,0.2,9464.7,Theft,06-02-2023,23-02-2023,1,9,8345.81,9765.59,Yes,No,Kochi,Claim filed for total loss shortly after policy purchase.,1
CLM00674,18,Third-Party Fire & Theft,2.5,31113.91,Windshield Damage,30-07-2025,09-08-2025,3,5,32198.52,32369.05,Yes,No,Mumbai,Vehicle collided with another car at a traffic signal.,0
CLM00866,35,Third-Party Fire & Theft,5.8,38047.87,Vandalism,16-10-2024,11-10-2024,0,0,34651.67,38013.65,No,,Lucknow,Car was damaged in heavy rain and flooding.,0
CLM00416,24,Third-Party,0.6,83159.05,Windshield Damage,01-06-2023,02-06-2023,0,0,84809.92,83108.81,Yes,No,Pune,Car was damaged in heavy rain and flooding.,0
CLM01167,23,Third-Party Fire & Theft,2,4237.65,Windshield Damage,10-07-2024,23-07-2024,0,1,4379.76,4323.23,Yes,No,Kochi,Vehicle scratched while parked in a mall parking lot.,0
CLM00577,21,Third-Party,14.6,50688.83,Collision,29-02-2024,04-03-2024,0,5,53045.99,51776.2,Yes,Yes,Nagpur,Car was damaged in heavy rain and flooding.,0
CLM00117,30,Third-Party,4.4,70967.13,Natural Disaster,30-10-2025,30-10-2025,3,7,61739.98,70818.71,Yes,Yes,Surat,Minor collision while reversing out of a parking spot.,0
CLM00318,73,Third-Party,3.4,7852.82,Collision,27-10-2024,05-11-2024,2,1,8369.82,7702.65,Yes,No,Nagpur,Car was damaged in heavy rain and flooding.,0
CLM00326,40,Comprehensive,1.5,7547.19,Windshield Damage,04-06-2023,07-06-2023,1,2,7463.58,7339.21,No,Yes,Nagpur,Car was damaged in heavy rain and flooding.,0
CLM00521,41,Comprehensive,2.3,23529.42,Windshield Damage,08-01-2023,15-01-2023,0,14,21960.73,24284.33,Yes,Yes,Hyderabad,Vehicle collided with another car at a traffic signal.,0
CLM00519,41,Third-Party Fire & Theft,7.4,23663.12,Injury/Accident,30-09-2023,01-10-2023,0,6,26873.26,23337.82,Yes,Yes,Mumbai,,0
CLM00739,34,Third-Party Fire & Theft,14.4,21213.02,Collision,09-06-2025,10-06-2025,0,0,19807.76,21785.28,Yes,No,Bengaluru,Car was damaged in heavy rain and flooding.,0
CLM00811,39,Third-Party,0.9,27001.17,Windshield Damage,25-08-2023,29-08-2023,4,4,23371.91,25987.74,No,Yes,Nagpur,Vehicle scratched while parked in a mall parking lot.,0
